min_x,min_y,min_z,25%_x,25%_y,25%_z,50%_x,50%_y,50%_z,75%_x,75%_y,75%_z,max_x,max_y,max_z,mean_x,mean_y,mean_z,machine,process_name,label
-2115.0,-68.0,-3.0,70.0,2311.0,-0.040470224056603776,-2559.0,-39.0,35.0,109.0,2549.0,36.79090507075472,-1871.0,-1153.0,-1013.0,-868.0,-156.0,-1012.8486733490566,M01,OP00,good
-2006.0,-42.0,5.0,50.0,2227.0,1.898239016532898,-1054.0,-37.0,39.0,89.0,1044.0,29.50137710571289,-1852.0,-1122.0,-1050.0,-944.0,-370.0,-1037.234619140625,M01,OP00,good
-1911.0,-44.0,5.0,50.0,2010.0,1.8284810781478882,-1016.0,-46.0,39.0,101.0,1056.0,29.82860565185547,-1889.0,-1124.0,-1046.0,-944.0,-374.0,-1037.0845947265625,M01,OP00,good
-1950.0,-60.0,-7.0,50.0,2213.0,-3.7609929778696496,-1922.0,-39.0,17.0,105.0,1924.0,31.65757234922179,-1672.0,-1110.0,-1034.0,-909.0,-273.0,-1014.960675310068,M01,OP00,good
-2076.0,-66.0,-1.0,70.0,2297.0,0.06582104400749064,-2236.0,-46.0,39.0,119.0,2588.0,37.8489766210206,-1778.0,-1165.0,-1011.0,-858.0,-214.0,-1013.0558688845974,M01,OP00,good
-2004.0,-66.0,-9.0,58.0,2080.0,-3.520869364265267,-1895.0,-42.0,31.0,113.0,2188.0,35.21975638120229,-2178.0,-1145.0,-993.0,-892.0,-286.0,-1013.1140453542462,M01,OP00,good
-1977.0,-60.0,-9.0,50.0,2215.0,-4.307740189646947,-1926.0,-60.0,21.0,132.0,2067.0,32.21090395395992,-2094.0,-1134.0,-1007.0,-897.0,-234.0,-1013.9626968034352,M01,OP00,good
-2010.0,-64.0,-9.0,54.0,2047.0,-3.8764275703721376,-1963.0,-44.0,29.0,115.0,2205.0,35.1002057490458,-2030.0,-1151.0,-999.0,-884.0,-251.0,-1013.0206680880248,M01,OP00,good
-1983.0,-62.0,-11.0,54.0,2199.0,-4.124049429657795,-2014.0,-46.0,19.0,113.0,2151.0,31.364387773288975,-2053.0,-1128.0,-1007.0,-909.0,-263.0,-1014.2620343690589,M01,OP00,good
-1942.0,-40.0,5.0,46.0,2258.0,2.2265427112579346,-1040.0,-35.0,35.0,89.0,1085.0,29.913516998291016,-1866.0,-1116.0,-1048.0,-948.0,-374.0,-1037.06201171875,M01,OP00,good
-1996.0,-58.0,-9.0,46.0,2012.0,-4.018841692509542,-1821.0,-48.0,27.0,121.0,2014.0,34.13162347924618,-1717.0,-1098.0,-1038.0,-919.0,-144.0,-1015.1868328065362,M01,OP00,good
-2260.0,-58.0,-7.0,46.0,2168.0,-4.016683563931298,-1823.0,-35.0,29.0,95.0,1842.0,32.2775077528626,-1672.0,-1091.0,-1030.0,-929.0,-216.0,-1014.7422285007157,M01,OP00,good
-1989.0,-62.0,-11.0,52.0,2119.0,-4.368398884780534,-2002.0,-48.0,21.0,130.0,2104.0,34.77754129890267,-2086.0,-1169.0,-1005.0,-864.0,-228.0,-1013.3616300393606,M01,OP00,good
-2102.0,-60.0,-7.0,44.0,2055.0,-3.9709528566316794,-1797.0,-42.0,29.0,111.0,1838.0,33.34975846851145,-1723.0,-1095.0,-1038.0,-925.0,-327.0,-1015.1018271409828,M01,OP00,good
-1924.0,-54.0,-9.0,40.0,2115.0,-4.491036418726236,-1698.0,-33.0,31.0,89.0,1873.0,31.903056677756656,-1645.0,-1108.0,-1022.0,-915.0,-353.0,-1015.1854020615494,M01,OP00,good
-1996.0,-54.0,-9.0,39.0,2053.0,-4.7303196564885495,-1795.0,-42.0,35.0,103.0,1953.0,32.98672695014313,-1713.0,-1108.0,-1024.0,-917.0,-322.0,-1015.3887836951336,M01,OP00,good
-2119.0,-62.0,-11.0,48.0,2125.0,-5.534848057271863,-1789.0,-48.0,13.0,132.0,1950.0,32.76389837808935,-2006.0,-1169.0,-1001.0,-864.0,-308.0,-1013.4982733780894,M01,OP00,good
-2061.0,-62.0,-9.0,52.0,2272.0,-4.118096296296296,-1883.0,-48.0,21.0,128.0,2065.0,34.63088888888889,-2051.0,-1167.0,-1005.0,-866.0,-267.0,-1013.1278481481481,M01,OP00,good
-2053.0,-58.0,-7.0,42.0,2096.0,-4.23169038141635,-1918.0,-40.0,33.0,103.0,2049.0,33.10810881059886,-1682.0,-1095.0,-1036.0,-923.0,-286.0,-1014.8717212749525,M01,OP00,good
-1998.0,-60.0,-11.0,52.0,1971.0,-3.108954067887931,-1992.0,-40.0,29.0,113.0,2088.0,35.19947130926724,-1729.0,-1124.0,-1007.0,-911.0,-290.0,-1013.089321794181,M01,OP01,good
-2295.0,-80.0,-5.0,85.0,2338.0,0.19200303819444445,-2211.0,-64.0,31.0,152.0,2479.0,38.6044921875,-1618.0,-1126.0,-1018.0,-895.0,-52.0,-1013.7075737847222,M01,OP01,good
-1994.0,-52.0,9.0,54.0,2133.0,1.8289716243743896,-694.0,-60.0,27.0,113.0,819.0,30.350868225097656,-1667.0,-1138.0,-1038.0,-936.0,-511.0,-1037.5543212890625,M01,OP01,good
-2158.0,-62.0,-9.0,56.0,2139.0,-2.6228616648706895,-2172.0,-54.0,21.0,126.0,1987.0,33.331492456896555,-1604.0,-1104.0,-1016.0,-933.0,-189.0,-1015.6721107219828,M01,OP01,good
-2028.0,-64.0,-7.0,64.0,2295.0,-1.5633413461538461,-2395.0,-21.0,31.0,95.0,2865.0,36.74842247596154,-2170.0,-1065.0,-1015.0,-962.0,-148.0,-1013.2813551682692,M01,OP01,good
-2117.0,-48.0,9.0,52.0,2196.0,2.5973470211029053,-757.0,-58.0,27.0,113.0,772.0,30.199983596801758,-1667.0,-1132.0,-1040.0,-942.0,-507.0,-1037.7781982421875,M01,OP01,good
-2035.0,-60.0,-11.0,54.0,2123.0,-2.9328697467672415,-2178.0,-54.0,21.0,126.0,1778.0,34.623215247844826,-1641.0,-1104.0,-1016.0,-931.0,-93.0,-1015.6616042564655,M01,OP01,good
-1996.0,-60.0,-11.0,54.0,1885.0,-3.1242759967672415,-1932.0,-42.0,29.0,115.0,2035.0,34.98681640625,-1735.0,-1120.0,-1009.0,-913.0,-417.0,-1012.9491177262931,M01,OP01,good
-1903.0,-64.0,-11.0,56.0,2022.0,-4.14449814618644,-1727.0,-44.0,23.0,109.0,1704.0,30.30760063559322,-1754.0,-1114.0,-1009.0,-919.0,-396.0,-1013.7475503177966,M01,OP01,good
-2028.0,-62.0,-9.0,58.0,2514.0,-2.6087394593253967,-1684.0,-54.0,25.0,124.0,1752.0,32.682400173611114,-1694.0,-1134.0,-1018.0,-899.0,-253.0,-1015.344478546627,M01,OP01,good
-1813.0,-62.0,-9.0,58.0,2000.0,-2.5329545454545452,-1926.0,-46.0,25.0,117.0,2098.0,34.09129971590909,-1774.0,-1138.0,-1007.0,-901.0,-372.0,-1012.9226740056819,M01,OP01,good
-2037.0,-64.0,-9.0,58.0,2172.0,-2.5546369881465516,-1934.0,-56.0,23.0,132.0,1916.0,34.76224070581897,-1768.0,-1106.0,-1016.0,-927.0,-366.0,-1015.6915914601293,M01,OP01,good
-2322.0,-60.0,-11.0,54.0,2264.0,-3.1139547413793105,-1922.0,-58.0,19.0,130.0,1594.0,34.42153825431034,-1745.0,-1098.0,-1016.0,-936.0,-212.0,-1015.8061355064655,M01,OP01,good
-1942.0,-64.0,-11.0,60.0,2033.0,-2.721661603009259,-2043.0,-46.0,31.0,117.0,2098.0,34.773148148148145,-1747.0,-1143.0,-1005.0,-894.0,-333.0,-1012.9967990451389,M01,OP01,good
-2283.0,-62.0,-11.0,56.0,2238.0,-2.9945783943965516,-1846.0,-56.0,21.0,128.0,1836.0,34.243669181034484,-1602.0,-1106.0,-1016.0,-933.0,-318.0,-1015.9978448275862,M01,OP01,good
-2129.0,-64.0,-7.0,60.0,2543.0,-2.0031105324074074,-2258.0,-56.0,23.0,132.0,1856.0,34.27533637152778,-1667.0,-1118.0,-1016.0,-913.0,-234.0,-1015.748679832176,M01,OP01,good
-1881.0,-58.0,-11.0,50.0,2088.0,-3.5038725754310347,-2096.0,-42.0,31.0,113.0,2049.0,34.614796605603445,-1745.0,-1126.0,-1009.0,-907.0,-300.0,-1013.2382644127155,M01,OP01,good
-2063.0,-60.0,-13.0,50.0,2115.0,-4.90072,-1544.0,-39.0,21.0,103.0,1657.0,30.047744,-1713.0,-1106.0,-1011.0,-921.0,-357.0,-1013.601456,M01,OP01,good
-2117.0,-58.0,-9.0,48.0,2141.0,-3.2915375808189653,-1914.0,-66.0,21.0,134.0,2110.0,33.63916015625,-1622.0,-1118.0,-1016.0,-915.0,-257.0,-1015.7072332974138,M01,OP01,good
-1848.0,-58.0,-13.0,46.0,2073.0,-5.060646186440678,-2383.0,-39.0,23.0,101.0,1893.0,30.355832891949152,-1731.0,-1114.0,-1009.0,-919.0,-265.0,-1013.7611063294491,M01,OP01,good
-1887.0,-64.0,-13.0,52.0,2141.0,-4.587553879310345,-1708.0,-48.0,21.0,113.0,1723.0,31.08917025862069,-1696.0,-1114.0,-1009.0,-919.0,-331.0,-1013.4695581896551,M01,OP01,good
-2242.0,-60.0,-11.0,54.0,2176.0,-3.0957858845338984,-1985.0,-52.0,21.0,124.0,1848.0,33.900473384533896,-1653.0,-1102.0,-1016.0,-933.0,-253.0,-1015.9929985434322,M01,OP01,good
-2030.0,-56.0,-11.0,46.0,2108.0,-3.377727640086207,-2082.0,-62.0,21.0,132.0,2002.0,34.345837823275865,-1690.0,-1112.0,-1016.0,-923.0,-269.0,-1015.5819807381465,M01,OP01,good
-1955.0,-62.0,-13.0,54.0,2002.0,-3.7836408943965516,-1895.0,-37.0,25.0,101.0,2012.0,32.628098060344826,-1764.0,-1116.0,-1009.0,-915.0,-355.0,-1013.6662345096983,M01,OP01,good
-1899.0,-60.0,-11.0,54.0,2078.0,-3.023302801724138,-2221.0,-44.0,29.0,115.0,2084.0,34.01995218211207,-1889.0,-1126.0,-1007.0,-907.0,-351.0,-1013.0969322467672,M01,OP01,good
-2035.0,-60.0,-11.0,54.0,2155.0,-3.1688294491525424,-1848.0,-52.0,21.0,122.0,1963.0,33.83328919491525,-1754.0,-1100.0,-1016.0,-935.0,-306.0,-1016.0207891949152,M01,OP01,good
-1854.0,-64.0,-13.0,56.0,2117.0,-4.422748766447368,-1747.0,-40.0,23.0,105.0,1696.0,29.88500548245614,-1776.0,-1120.0,-1009.0,-911.0,-306.0,-1013.7424444901316,M01,OP01,good
-1983.0,-66.0,-11.0,64.0,2336.0,-3.257849351415094,-1604.0,-44.0,21.0,111.0,1456.0,30.554705925707548,-1700.0,-1134.0,-1005.0,-911.0,-333.0,-1013.6513856132076,M01,OP01,good
-2028.0,-60.0,-11.0,52.0,2090.0,-3.1384567002118646,-1817.0,-54.0,19.0,124.0,1944.0,34.01416843220339,-1600.0,-1098.0,-1016.0,-936.0,-218.0,-1015.9850205243644,M01,OP01,good
-1916.0,-66.0,-11.0,60.0,2285.0,-3.943783166273585,-1846.0,-42.0,27.0,111.0,1725.0,32.725456957547166,-1729.0,-1136.0,-1005.0,-903.0,-257.0,-1013.6698665978773,M01,OP01,good
-2217.0,-60.0,-11.0,52.0,2348.0,-2.9743445444915255,-1916.0,-50.0,21.0,121.0,1957.0,32.74382613877118,-1682.0,-1102.0,-1016.0,-933.0,-357.0,-1015.892280190678,M01,OP01,good
-2082.0,-56.0,-11.0,46.0,2246.0,-3.491558527542373,-2022.0,-62.0,21.0,130.0,2110.0,34.48096530720339,-1704.0,-1114.0,-1016.0,-921.0,-27.0,-1015.7325211864406,M01,OP01,good
-1916.0,-64.0,-11.0,56.0,2067.0,-3.948672537076271,-2057.0,-37.0,25.0,101.0,1670.0,31.50493246822034,-1717.0,-1118.0,-1009.0,-915.0,-286.0,-1013.3348450741526,M01,OP01,good
-2114.0,-78.0,-7.0,85.0,2330.0,-0.13841931573275862,-2414.0,-60.0,31.0,142.0,2492.0,37.69723195043103,-1871.0,-1114.0,-1016.0,-909.0,-302.0,-1013.6151670258621,M01,OP01,good
-2194.0,-52.0,9.0,54.0,2196.0,2.1991496086120605,-708.0,-56.0,29.0,109.0,718.0,30.432992935180664,-1614.0,-1130.0,-1040.0,-944.0,-515.0,-1037.810302734375,M01,OP01,good
-2233.0,-48.0,9.0,52.0,2162.0,2.6904666423797607,-728.0,-56.0,29.0,111.0,823.0,30.44063377380371,-1672.0,-1128.0,-1040.0,-944.0,-495.0,-1037.8533935546875,M01,OP01,good
-2028.0,-76.0,-7.0,80.0,2274.0,-0.4539360434322034,-2516.0,-56.0,31.0,144.0,2769.0,37.822944253177965,-1618.0,-1114.0,-1015.0,-913.0,-163.0,-1013.576767743644,M01,OP01,good
-2184.0,-48.0,9.0,54.0,2373.0,2.269676923751831,-675.0,-56.0,31.0,109.0,810.0,30.694965362548828,-1608.0,-1132.0,-1040.0,-936.0,-489.0,-1037.598876953125,M01,OP01,good
-2385.0,-72.0,1.0,72.0,2428.0,-0.5931046605110168,-774.0,-148.0,33.0,226.0,888.0,34.50934982299805,-1717.0,-1223.0,-1038.0,-851.0,-310.0,-1034.8624267578125,M01,OP01,bad
-2356.0,-70.0,5.0,72.0,2258.0,0.2420509308576584,-876.0,-103.0,35.0,162.0,858.0,31.681697845458984,-1618.0,-1190.0,-1069.0,-870.0,-370.0,-1037.5819091796875,M01,OP01,bad
-2018.0,-52.0,-11.0,37.0,2030.0,-4.984965479651163,-1813.0,-35.0,27.0,95.0,1967.0,31.77651480741279,-1684.0,-1077.0,-1015.0,-952.0,-308.0,-1013.6033566497093,M01,OP02,good
-2192.0,-58.0,-9.0,50.0,2420.0,-2.881331197331461,-2266.0,-54.0,27.0,132.0,1887.0,34.49371269311798,-1797.0,-1108.0,-1016.0,-927.0,226.0,-1015.2536209620787,M01,OP02,good
-2342.0,-56.0,-9.0,44.0,2209.0,-3.1563397988505746,-1870.0,-48.0,25.0,126.0,2043.0,33.68698365660919,-1797.0,-1106.0,-1016.0,-931.0,-279.0,-1016.032821479885,M01,OP02,good
-1875.0,-50.0,-11.0,35.0,1953.0,-5.116086028343023,-1633.0,-33.0,25.0,89.0,1780.0,29.51029932776163,-1708.0,-1079.0,-1015.0,-948.0,-359.0,-1013.6125090843024,M01,OP02,good
-1996.0,-52.0,-11.0,39.0,2065.0,-4.055982013081396,-1668.0,-35.0,27.0,95.0,1631.0,31.37353515625,-1665.0,-1075.0,-1015.0,-954.0,-281.0,-1013.3813590116279,M01,OP02,good
-2508.0,-58.0,-11.0,46.0,2254.0,-3.3339199862637363,-2244.0,-48.0,23.0,124.0,1889.0,34.03870836195055,-2012.0,-1116.0,-1016.0,-915.0,-48.0,-1015.6329198145604,M01,OP02,good
-2155.0,-56.0,-11.0,42.0,2533.0,-3.4157852001404496,-2297.0,-44.0,25.0,121.0,2059.0,33.83149359199438,-1852.0,-1104.0,-1016.0,-929.0,-138.0,-1015.5677558813202,M01,OP02,good
-2004.0,-54.0,-11.0,42.0,2065.0,-4.055698128633721,-1719.0,-33.0,29.0,95.0,1626.0,32.37193404796512,-1737.0,-1081.0,-1015.0,-948.0,-259.0,-1013.6118277616279,M01,OP02,good
-2320.0,-58.0,-11.0,46.0,2291.0,-3.1681916610054346,-2400.0,-54.0,23.0,126.0,2063.0,34.12199600883152,-1817.0,-1118.0,-1016.0,-913.0,13.0,-1015.5500912873641,M01,OP02,good
-2266.0,-56.0,-11.0,46.0,2248.0,-3.1522202765804597,-1994.0,-46.0,23.0,122.0,1791.0,32.63015220905172,-1877.0,-1114.0,-1016.0,-921.0,-158.0,-1015.2401670258621,M01,OP02,good
-2018.0,-50.0,-11.0,35.0,1961.0,-5.25055001795977,-1696.0,-31.0,25.0,87.0,1440.0,30.015669899425287,-1747.0,-1071.5,-1015.0,-958.0,-343.0,-1013.4751369432471,M01,OP02,good
-2022.0,-52.0,-11.0,39.0,1905.0,-4.775053879310345,-1721.0,-35.0,25.0,91.0,1684.0,29.281530621408045,-1762.0,-1079.0,-1015.0,-948.0,-306.0,-1013.7605850395115,M01,OP02,good
-2252.0,-58.0,-11.0,48.0,2281.0,-3.1118265787760415,-2160.0,-56.0,25.0,134.0,1903.0,34.311177571614586,-1903.0,-1110.0,-1016.0,-923.0,-214.0,-1015.5183817545573,M01,OP02,good
-2223.0,-56.0,-11.0,42.0,2227.0,-3.7178071120689653,-2330.0,-44.0,25.0,121.0,1928.0,33.97899829382184,-1946.0,-1112.0,-1016.0,-923.0,31.0,-1015.4875404094828,M01,OP02,good
-1948.0,-56.0,-9.0,52.0,1938.0,-2.775749820402299,-2227.0,-29.0,29.0,95.0,2037.0,33.09024784482759,-1713.0,-1071.0,-1015.0,-954.0,-52.0,-1013.1185906070402,M01,OP02,good
-1885.0,-58.0,-9.0,52.0,2119.0,-3.1339777166193183,-1559.0,-35.0,25.0,99.0,1770.0,30.844870827414773,-1764.0,-1063.0,-1015.0,-966.0,-158.0,-1014.0219393643466,M01,OP02,good
-1953.0,-33.0,9.0,39.0,2184.0,3.2576255798339844,-983.0,-46.0,31.0,103.0,1286.0,29.796096801757812,-1891.0,-1124.0,-1040.0,-950.0,-109.0,-1037.5181884765625,M01,OP02,good
-1942.0,-33.0,9.0,39.0,2256.0,3.5340845584869385,-958.0,-44.0,31.0,101.0,1198.0,30.177536010742188,-1901.0,-1124.0,-1038.0,-950.0,-109.0,-1036.234619140625,M01,OP02,good
-2281.0,-74.0,-7.0,78.0,2141.0,-0.26663448033707865,-2475.0,-37.0,33.0,119.0,2274.0,37.19327159410113,-1936.0,-1097.0,-1015.0,-935.0,-150.0,-1013.2115409936798,M01,OP02,good
-2043.0,-91.0,-9.0,93.0,2139.0,-2.145284090909091,-1922.0,-50.0,21.0,113.0,1965.0,29.246545454545455,-1803.0,-1083.0,-1016.0,-948.0,-269.0,-1014.0678409090909,M01,OP02,good
-1991.0,-35.0,9.0,39.0,2240.0,3.1615867614746094,-1013.0,-44.0,33.0,103.0,1190.0,29.89842414855957,-1797.0,-1120.0,-1038.0,-954.0,-113.0,-1037.048828125,M01,OP02,good
-2233.0,-74.0,-7.0,81.0,2348.0,-0.5442371587643678,-2510.0,-40.0,29.0,117.0,2080.0,36.3182583512931,-1996.0,-1106.0,-1015.0,-919.0,50.0,-1013.4052060883621,M01,OP02,good
-1983.0,-58.0,-9.0,52.0,2102.0,-3.337407956178161,-1731.0,-31.0,25.0,97.0,1659.0,32.24242322198276,-1702.0,-1071.0,-1015.0,-958.0,-357.0,-1014.1256734913793,M01,OP02,good
-2215.0,-56.0,-11.0,42.0,2453.0,-3.3980804771505375,-2184.0,-50.0,23.0,126.0,1934.0,33.978988155241936,-1821.0,-1102.0,-1016.0,-931.0,-142.0,-1015.2785933299731,M01,OP02,good
-2098.0,-31.0,9.0,37.0,2115.0,3.738229274749756,-1038.0,-44.0,31.0,101.0,1251.0,29.8565616607666,-1821.0,-1116.0,-1038.0,-960.0,-167.0,-1037.7957763671875,M01,OP02,good
-2197.0,-74.0,-5.0,78.0,2383.0,-0.3426540798611111,-2071.0,-37.0,33.0,119.0,2330.0,37.91473524305555,-1965.0,-1098.0,-1015.0,-931.0,-5.0,-1013.2982747395833,M01,OP02,good
-2043.0,-107.0,-9.0,111.0,2297.0,-1.2818255813953487,-1782.0,-62.0,23.0,130.0,1526.0,30.773151162790697,-1846.0,-1091.0,-1016.0,-938.0,-290.0,-1014.0072558139535,M01,OP02,good
-2041.0,-56.0,-9.0,52.0,1983.0,-2.7034227324695124,-1871.0,-29.0,31.0,97.0,1762.0,34.6669326410061,-1711.0,-1073.0,-1015.0,-956.0,-308.0,-1013.1944907583842,M01,OP02,good
-1940.0,-58.0,-9.0,52.0,1985.0,-3.499920512354651,-1940.0,-31.0,27.0,95.0,1702.0,30.849961391715116,-1825.0,-1063.0,-1015.0,-964.0,-150.0,-1014.1435092659884,M01,OP02,good
-1952.0,-52.0,-11.0,44.0,2164.0,-3.4062111111111113,-2008.0,-27.0,29.0,95.0,1897.0,34.324822222222224,-1721.0,-1065.0,-1015.0,-964.0,-341.0,-1013.201,M01,OP02,good
-2285.0,-58.0,-11.0,44.0,2196.0,-3.340491006540698,-1948.0,-52.0,21.0,130.0,1932.0,32.221032430959305,-1971.0,-1116.0,-1018.0,-917.0,17.0,-1015.6712050327035,M01,OP02,good
-1992.0,-33.0,9.0,39.0,2151.0,3.1980292797088623,-958.0,-44.0,31.0,99.0,1161.0,29.780473709106445,-1834.0,-1124.0,-1040.0,-952.0,17.0,-1037.272216796875,M01,OP02,good
-2389.0,-76.0,-7.0,80.0,2326.0,-0.30092825940860213,-2502.0,-39.0,33.0,121.0,2127.0,37.54730552755376,-1903.0,-1106.0,-1015.0,-925.0,0.0,-1013.3599630376344,M01,OP02,good
-2028.0,-56.0,-9.0,50.0,2248.0,-2.984885992005814,-1928.0,-29.0,29.0,95.0,1762.0,33.73865597747093,-1723.0,-1071.0,-1015.0,-958.0,-269.0,-1013.3395371547965,M01,OP02,good
-2338.0,-56.0,-11.0,42.0,2502.0,-3.5970613326149423,-1987.0,-44.0,23.0,121.0,2022.0,33.27288748204023,-1871.0,-1110.0,-1016.0,-921.0,91.0,-1015.5553722162356,M01,OP02,good
-2352.0,-56.0,-11.0,44.0,1992.0,-3.3520063920454546,-2110.0,-50.0,23.0,126.0,2045.0,33.63021573153409,-1832.0,-1110.0,-1016.0,-925.0,-247.0,-1015.4947509765625,M01,OP02,good
-2049.0,-54.0,-11.0,40.0,2125.0,-4.875840297965116,-1819.0,-35.0,25.0,93.0,1721.0,30.529910065406977,-1727.0,-1089.0,-1015.0,-938.0,-271.0,-1013.71630859375,M01,OP02,good
-2143.0,-56.0,-11.0,42.0,2434.0,-3.417139196908602,-2158.0,-48.0,23.0,126.0,2106.0,33.716796875,-1819.0,-1100.0,-1016.0,-931.0,-132.0,-1015.0890667002689,M01,OP02,good
-2033.0,-50.0,-13.0,35.0,1994.0,-5.440990930316092,-1717.0,-29.0,27.0,85.0,1838.0,29.758934985632184,-1692.0,-1067.0,-1015.0,-962.0,-329.0,-1013.6707861889367,M01,OP02,good
-1991.0,-58.0,-9.0,54.0,2041.0,-2.340354742005814,-2119.0,-31.0,29.0,95.0,1916.0,33.11722156613372,-1706.0,-1075.0,-1013.0,-952.0,-189.0,-1013.0546875,M01,OP02,good
-2215.0,-56.0,-11.0,44.0,2160.0,-3.2219025985054346,-2361.0,-54.0,21.0,124.0,2219.0,33.26038128396739,-1784.0,-1120.0,-1016.0,-913.0,-165.0,-1015.2916312839674,M01,OP02,good
-1934.0,-52.0,-11.0,37.0,2037.0,-5.104912336482558,-1694.0,-35.0,27.0,91.0,1663.0,29.625669967296513,-1719.0,-1085.0,-1015.0,-944.0,-288.0,-1013.7755496002907,M01,OP02,good
-1971.0,-58.0,-11.0,54.0,2020.0,-3.0109579396802326,-2045.0,-31.0,29.0,95.0,1842.0,33.857932867005815,-1680.0,-1071.0,-1015.0,-958.0,-242.0,-1013.2376794149709,M01,OP02,good
-2264.0,-60.0,-11.0,46.0,2342.0,-3.494469930959302,-1912.0,-54.0,23.0,132.0,1977.0,34.126226380813954,-1959.0,-1122.0,-1018.0,-913.0,-83.0,-1015.6900322492733,M01,OP02,good
-2469.0,-58.0,-9.0,52.0,2502.0,-2.504702360733696,-2264.0,-50.0,25.0,128.0,2274.0,34.02566661005435,-1852.0,-1106.0,-1016.0,-931.0,-288.0,-1015.5243609884511,M01,OP02,good
-1983.0,-126.0,13.0,111.0,2254.0,-1.5081368684768677,-1905.0,-232.0,13.0,298.0,1631.0,33.00518798828125,-1871.0,-1202.0,-1020.0,-884.0,-189.0,-1037.40966796875,M01,OP02,bad
-2059.0,-81.0,1.0,91.0,2395.0,1.1733258928571428,-2576.0,-91.0,25.0,179.0,2344.0,39.39541852678571,-1610.0,-1120.0,-1024.0,-899.0,-306.0,-1013.825234375,M01,OP03,good
-1944.0,-62.0,-5.0,60.0,2318.0,-1.7250190822557472,-2176.0,-64.0,13.0,142.0,1614.0,34.29477595186781,-1731.0,-1093.0,-1016.0,-944.0,-265.0,-1015.9264547413793,M01,OP03,good
-2242.0,-54.0,5.0,58.0,2248.0,1.7127628326416016,-747.0,-66.0,19.0,124.0,800.0,30.29319953918457,-1581.0,-1118.0,-1040.0,-954.0,-497.0,-1037.885498046875,M01,OP03,good
-1989.0,-81.0,0.0,91.0,2336.0,1.4570256375718391,-2467.0,-93.0,21.0,183.0,2207.0,39.283786817528735,-1809.0,-1118.0,-1030.0,-899.0,-281.0,-1013.8258295168822,M01,OP03,good
-1989.0,-60.0,-5.0,58.0,2246.0,-2.143964394755747,-1811.0,-64.0,15.0,142.0,1813.0,34.726214529454026,-1592.0,-1095.0,-1016.0,-942.0,-163.0,-1016.108505073635,M01,OP03,good
-1967.0,-58.0,-11.0,52.0,2203.0,-3.4264940283764367,-2276.0,-44.0,37.0,111.0,1766.0,34.706105199353445,-1745.0,-1139.0,-979.0,-903.0,-187.0,-1013.1716785650144,M01,OP03,good
-6668.0,-62.0,15.0,83.0,6074.0,9.775898663294798,-2365.0,-179.0,11.0,197.0,2916.0,18.09832798952312,-2721.0,-1130.0,-1028.0,-913.0,786.0,-1020.5116679461705,M01,OP03,good
